               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075857,            0.025727,            0.082091,             0.01486,             0.67638,            0.047317,            0.016031,            0.038968,             0.01092,            0.054054,            0.070283,           0.0033019,           0.0033019
                   1,            0.050658,            0.020824,            0.074959,             0.64773,              0.1443,             0.19531,            0.098596,             0.03248,           0.0072262,            0.049878,            0.040152,           0.0065038,           0.0065038
                   2,             0.04671,            0.017227,            0.070107,             0.64084,              0.3528,               0.341,             0.16595,            0.028584,            0.006211,            0.045643,           0.0098883,           0.0095738,           0.0095738
                   3,            0.044008,            0.015136,            0.064155,             0.40093,             0.44609,             0.43507,             0.23185,            0.025553,           0.0060419,            0.039845,            0.009406,            0.009406,            0.009406
                   4,            0.041049,            0.014827,            0.058032,             0.44037,              0.5153,             0.49954,             0.24452,            0.027298,             0.00828,            0.034797,            0.009406,            0.009406,            0.009406
                   5,            0.040114,             0.01429,            0.050261,             0.61204,             0.57112,             0.64568,             0.34353,             0.02598,           0.0060033,            0.029896,            0.009208,            0.009208,            0.009208
                   6,            0.039243,            0.014076,            0.046714,             0.48762,             0.76567,              0.7209,              0.3708,            0.026291,           0.0056308,            0.024086,             0.00901,             0.00901,             0.00901
                   7,            0.038377,            0.013713,             0.04151,             0.74254,             0.77906,             0.82749,             0.46619,            0.022812,            0.005549,            0.019379,            0.008812,            0.008812,            0.008812
                   8,            0.038564,            0.013739,            0.038879,             0.66785,             0.87508,             0.84599,             0.51643,            0.024938,           0.0058462,             0.01682,            0.008614,            0.008614,            0.008614
                   9,            0.037742,            0.013491,            0.036144,             0.75136,              0.8414,             0.89011,             0.55401,            0.022076,           0.0054441,            0.014958,            0.008416,            0.008416,            0.008416
                  10,            0.036338,            0.013586,             0.03393,             0.82152,             0.90163,             0.93682,             0.57258,            0.020958,           0.0054546,            0.013336,            0.008218,            0.008218,            0.008218
                  11,            0.036887,            0.013095,            0.029515,              0.9087,             0.93192,             0.95373,             0.58681,            0.021541,           0.0055445,           0.0093461,             0.00802,             0.00802,             0.00802
                  12,            0.036728,            0.013171,            0.027395,              0.8862,             0.94991,             0.94911,             0.55119,            0.022931,           0.0055148,           0.0071221,            0.007822,            0.007822,            0.007822
                  13,            0.035873,            0.013512,             0.02732,             0.93423,             0.93377,             0.97671,             0.62305,            0.019433,           0.0054226,           0.0073642,            0.007624,            0.007624,            0.007624
                  14,            0.035206,            0.012997,            0.024056,             0.95702,             0.95877,             0.97872,             0.59526,            0.020572,           0.0054918,           0.0049436,            0.007426,            0.007426,            0.007426
                  15,            0.034882,            0.012911,            0.024176,             0.89233,             0.93044,              0.9668,             0.60145,            0.021727,           0.0059306,           0.0053946,            0.007228,            0.007228,            0.007228
                  16,            0.034344,            0.013165,            0.020901,             0.97337,             0.95702,             0.99397,             0.61154,            0.020075,           0.0053719,           0.0045635,             0.00703,             0.00703,             0.00703
                  17,            0.033689,            0.012819,            0.021113,             0.97925,             0.97929,             0.99414,             0.63206,            0.019819,           0.0052395,           0.0036431,            0.006832,            0.006832,            0.006832
                  18,            0.033235,            0.012724,            0.020147,             0.98154,             0.98145,             0.98868,             0.64474,            0.018964,            0.005147,           0.0035261,            0.006634,            0.006634,            0.006634
                  19,             0.03266,            0.012447,             0.01987,             0.95839,             0.97411,              0.9797,             0.66052,            0.019288,           0.0050678,           0.0032877,            0.006436,            0.006436,            0.006436
                  20,            0.032556,            0.012529,            0.016565,              0.9827,             0.98577,             0.99353,              0.6626,            0.018512,            0.005119,           0.0035546,            0.006238,            0.006238,            0.006238
                  21,            0.032486,            0.012603,            0.017225,             0.97968,             0.98501,             0.98945,             0.65893,            0.019009,           0.0050037,           0.0024028,             0.00604,             0.00604,             0.00604
                  22,            0.032744,            0.012303,            0.017646,              0.9796,              0.9835,              0.9885,             0.65199,            0.018398,           0.0050544,           0.0023793,            0.005842,            0.005842,            0.005842
                  23,            0.031823,            0.012127,            0.016154,             0.98422,             0.98663,             0.99285,             0.66627,            0.017405,            0.005068,           0.0028245,            0.005644,            0.005644,            0.005644
                  24,            0.031125,            0.012378,            0.015818,             0.96318,             0.98321,             0.98575,             0.63111,            0.018878,           0.0050834,             0.00265,            0.005446,            0.005446,            0.005446
                  25,            0.031579,            0.012286,            0.017108,             0.98541,             0.98857,             0.99478,             0.67846,            0.017195,           0.0049397,           0.0019083,            0.005248,            0.005248,            0.005248
                  26,            0.030145,            0.012266,            0.016495,             0.98348,              0.9921,             0.99144,             0.67483,             0.01764,           0.0048724,           0.0016332,             0.00505,             0.00505,             0.00505
                  27,            0.030518,            0.012083,            0.014839,             0.97969,             0.99037,             0.99485,             0.66758,            0.017957,            0.005048,           0.0020226,            0.004852,            0.004852,            0.004852
                  28,            0.030036,            0.012052,            0.014079,             0.98465,             0.99561,             0.99144,             0.67879,            0.016892,           0.0049268,           0.0013235,            0.004654,            0.004654,            0.004654
